type, location, category
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Mhwr9337npE.txt,payment modification
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/MFfw5uRCgUE.txt,open case
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/CakLDusNATs.txt,arrears
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Oy2MS0AckdQ.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/O0G1HBrIiLc.txt,open case
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/aX_mORIj8SI.txt,arrears
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/SAaGOQiDoSc.txt,card
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/BQI-JICHTX8.txt,make payment
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/BSorVvkJ2Yc.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/SftziXMkeq4.txt,interstate
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/aXSMBz8LiKY.txt,verification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/NUnz2ffkx48.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/fBNt5Wy307Q.txt,verification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Z3-IN-oZVnA.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Bzo4qedtChU.txt,payment modification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/DlcSSyTRybA.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/bPA_mW_Za3k.txt,card
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/HHoElIwfklk.txt,card
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/E1exIVVypYg.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/XvMkQGH7J-g.txt
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Nfroq03eM14.txt,not received payment
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/c9Rl2au-T9I.txt,card
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/FK4USy3zm00.txt,payment modification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Ig6puW5O-fA.txt,arrears
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/RiTnq7V2A_w.txt,payment modification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/N5mnCD3PazI.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Jwu8faZwIaA.txt,emancipation
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/ECkZWlCXg-Y.txt,change of information
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/HjiD8yvdXt8.txt,make payment
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/V-j2v3gWzF8.txt,legal
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/J-1LmSnIluQ.txt,card
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/VOibeoGsELc.txt,account information
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/CgWrsCJ35C0.txt,contact human
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Ia3TSyO5ak0.txt,support inquiries
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/d8HhNwlZQ8I.txt,emancipation
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/SAYf1cXpPK4.txt,taxes
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/cw6Byb_5zBM.txt,info about parent
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/WCe9OzEHIM0.txt,account information
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/KlfD0TYVimo.txt,documentation
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/TQglU0jQWWw.txt,emancipation
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/a2JUjlJldzQ.txt,contact human
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/M8fHFGAsIbI.txt,contact human
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/FAxbnoyht2k.txt,not received payment
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/CyEMwQ0JWNk.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/W1VwgbCkvSc.txt,contact human
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Kx5Ix464JWg.txt,interstate
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Qg8NiPfV5cM.txt,emancipation
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/FDe4nCGSqys.txt,not received payment
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/S_l1vWrd8oo.txt,refund
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/RdF7iaJ5VIo.txt,payment modification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/YRCyQ56yNMI.txt,account balance
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/EGXCDs_Ug9w.txt,documentation
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/UAtXdHA-XsQ.txt,account information
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Uubkcbnv2xQ.txt,contact human
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/KEFER-HbPeA.txt,documentation
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Rh-Vg32b7mo.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/WAlj36EmWy8.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/ZhqcpGQKujI.txt
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/UIg6WNitnIs.txt,contact human
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/R5-_7AeaJd0.txt,payment modification
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/B0f9k3yvtl8.txt,support inquiries
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/bLJvfNGYYYU.txt,card
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/CnAzeYEvJq4.txt,payment timelines
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/Ske-EQf-R8Q.txt,terminate
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/GgnZzJuYCaE.txt,interstate
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/VW0UU3V2_fo.txt,contact human
TEST,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/WYVhhdg9weI.txt,open case
VALIDATION,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/BCyq8F_ZHUo.txt,change of information
TRAIN,gs://webchat-analytics-lcm/mdhs_csa_analytics_prod/uploads/content/dLLGNEgtTiE.txt,online action
