"occurences","queries","contexts.name","contexts.count"
3,"i don't have a username","waiting-feedback-not-helpful",1
3,"i don't have a username","waiting-pmtmethods-cant-make",1
3,"i don't have a username","waiting-pmtmethods-withhold-payments",1
3,"i don't have a username","waiting-pmtmethods-cash",1
3,"i don't have a username","waiting-pmtmethods-echeckdebit",1
3,"i don't have a username","waiting-feedback-helpful",1
3,"i don't have a username","waiting-pmtmethods-checkormoneyorder",1
3,"i don't have a username","waiting-eppi-faq",1
3,"i don't have a username","waiting-eppi-fees",1
3,"i don't have a username","waiting-eppi-notifications",1
3,"i don't have a username","waiting-eppi-activate",1
3,"i don't have a username","waiting-eppi-get-card",1
3,"i don't have a username","waiting-eppi-replace-report",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-feedback-not-helpful",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-pmtmethods-cant-make",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-pmtmethods-withhold-payments",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-pmtmethods-cash",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-pmtmethods-echeckdebit",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-feedback-helpful",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-pmtmethods-checkormoneyorder",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-faq",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-fees",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-notifications",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-activate",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-get-card",1
3,"Is there anyway you can Have somebody come out here her name is PERSON_NAME","waiting-eppi-replace-report",1
3,"I dont have my account number","waiting-feedback-not-helpful",1
3,"I dont have my account number","waiting-pmtmethods-cant-make",1
3,"I dont have my account number","waiting-pmtmethods-withhold-payments",1
3,"I dont have my account number","waiting-pmtmethods-cash",1
3,"I dont have my account number","waiting-pmtmethods-echeckdebit",1
3,"I dont have my account number","waiting-feedback-helpful",1
3,"I dont have my account number","waiting-pmtmethods-checkormoneyorder",1
3,"I dont have my account number","waiting-eppi-faq",1
3,"I dont have my account number","waiting-eppi-fees",1
3,"I dont have my account number","waiting-eppi-notifications",1
3,"I dont have my account number","waiting-eppi-activate",1
3,"I dont have my account number","waiting-eppi-get-card",1
3,"I dont have my account number","waiting-eppi-replace-report",1
