"occurences","queries","contexts.name","contexts.count"
2,"career opportunities","waiting-support-employer",1
2,"career opportunities","waiting-support-parent-paying",1
2,"career opportunities","request-type",1
2,"career opportunities","waiting-support-parent-receiving",1
2,"career opportunities","iwo-factors",1
2,"career opportunities","waiting-iwo-disposable-income",1
2,"I need a job ","waiting-support-employer",1
2,"I need a job ","waiting-support-parent-paying",1
2,"I need a job ","request-type",1
2,"I need a job ","waiting-support-parent-receiving",1
2,"I need a job ","iwo-factors",1
2,"I need a job ","waiting-iwo-disposable-income",1
