"occurences","queries","contexts.name","contexts.count"
13,"Address change","ticketinfo",3
13,"Address change","waiting-feedback-root",3
13,"Address change","waiting-restart-conversation",3
13,"Address change","waiting-support-no-email",1
13,"Address change","waiting-support-email",1
13,"Address change","waiting-support-employer",1
13,"Address change","waiting-support-parent-paying",1
13,"Address change","waiting-support-parent-receiving",1
13,"Address change","waiting-support-cancel-issue",1
13,"I need to change where my ex husband works","ticketinfo",3
13,"I need to change where my ex husband works","waiting-feedback-root",3
13,"I need to change where my ex husband works","waiting-restart-conversation",3
13,"I need to change where my ex husband works","waiting-support-no-email",1
13,"I need to change where my ex husband works","waiting-support-email",1
13,"I need to change where my ex husband works","waiting-support-employer",1
13,"I need to change where my ex husband works","waiting-support-parent-paying",1
13,"I need to change where my ex husband works","waiting-support-parent-receiving",1
13,"I need to change where my ex husband works","waiting-support-cancel-issue",1
13,"I’m needing to have my address in the system changed","ticketinfo",3
13,"I’m needing to have my address in the system changed","waiting-feedback-root",3
13,"I’m needing to have my address in the system changed","waiting-restart-conversation",3
13,"I’m needing to have my address in the system changed","waiting-support-no-email",1
13,"I’m needing to have my address in the system changed","waiting-support-email",1
13,"I’m needing to have my address in the system changed","waiting-support-employer",1
13,"I’m needing to have my address in the system changed","waiting-support-parent-paying",1
13,"I’m needing to have my address in the system changed","waiting-support-parent-receiving",1
13,"I’m needing to have my address in the system changed","waiting-support-cancel-issue",1
13,"I want to change my PERSON_NAME address","ticketinfo",3
13,"I want to change my PERSON_NAME address","waiting-feedback-root",3
13,"I want to change my PERSON_NAME address","waiting-restart-conversation",3
13,"I want to change my PERSON_NAME address","waiting-support-no-email",1
13,"I want to change my PERSON_NAME address","waiting-support-email",1
13,"I want to change my PERSON_NAME address","waiting-support-employer",1
13,"I want to change my PERSON_NAME address","waiting-support-parent-paying",1
13,"I want to change my PERSON_NAME address","waiting-support-parent-receiving",1
13,"I want to change my PERSON_NAME address","waiting-support-cancel-issue",1
13,"Address Change","ticketinfo",3
13,"Address Change","waiting-feedback-root",3
13,"Address Change","waiting-restart-conversation",3
13,"Address Change","waiting-support-no-email",1
13,"Address Change","waiting-support-email",1
13,"Address Change","waiting-support-employer",1
13,"Address Change","waiting-support-parent-paying",1
13,"Address Change","waiting-support-parent-receiving",1
13,"Address Change","waiting-support-cancel-issue",1
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","ticketinfo",3
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-feedback-root",3
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-restart-conversation",3
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-support-no-email",1
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-support-email",1
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-support-employer",1
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-support-parent-paying",1
13,"EMAIL_ADDRESS but need to change to EMAIL_ADDRESS","waiting-support-parent-receiving",1
