"occurences","queries","contexts.name","contexts.count"
12,"You where not helpful ","waiting-restart-conversation",4
12,"You where not helpful ","waiting-feedback-root",3
12,"You where not helpful ","waiting-support-type",1
12,"You where not helpful ","waiting-support-parent-receiving-more",1
12,"You where not helpful ","waiting-caseqa-general-support-request",1
12,"You where not helpful ","waiting-feedback-helpful",1
12,"You where not helpful ","waiting-feedback-not-helpful",1
12,"You where not helpful ","ticketinfo",1
12,"You where not helpful ","waiting-pmt-calc-gross-income",1
12,"You where not helpful ","payment-factors",1
12,"You where not helpful ","waiting-pmt-calc-unknown-income",1
12,"You where not helpful ","waiting-support-retry-phone-number",1
12,"You where not helpful ","waiting-support-retry-email",1
12,"You where not helpful ","waiting-support-cancel-issue",1
12,"you are no help!!!","waiting-restart-conversation",4
12,"you are no help!!!","waiting-feedback-root",3
12,"you are no help!!!","waiting-support-type",1
12,"you are no help!!!","waiting-support-parent-receiving-more",1
12,"you are no help!!!","waiting-caseqa-general-support-request",1
12,"you are no help!!!","waiting-feedback-helpful",1
12,"you are no help!!!","waiting-feedback-not-helpful",1
12,"you are no help!!!","ticketinfo",1
12,"you are no help!!!","waiting-pmt-calc-gross-income",1
12,"you are no help!!!","payment-factors",1
12,"you are no help!!!","waiting-pmt-calc-unknown-income",1
12,"you are no help!!!","waiting-support-retry-phone-number",1
12,"you are no help!!!","waiting-support-retry-email",1
12,"you are no help!!!","waiting-support-cancel-issue",1
12,"NOT HELPFUL. ","waiting-restart-conversation",4
12,"NOT HELPFUL. ","waiting-feedback-root",3
12,"NOT HELPFUL. ","waiting-support-type",1
12,"NOT HELPFUL. ","waiting-support-parent-receiving-more",1
12,"NOT HELPFUL. ","waiting-caseqa-general-support-request",1
12,"NOT HELPFUL. ","waiting-feedback-helpful",1
12,"NOT HELPFUL. ","waiting-feedback-not-helpful",1
12,"NOT HELPFUL. ","ticketinfo",1
12,"NOT HELPFUL. ","waiting-pmt-calc-gross-income",1
12,"NOT HELPFUL. ","payment-factors",1
12,"NOT HELPFUL. ","waiting-pmt-calc-unknown-income",1
12,"NOT HELPFUL. ","waiting-support-retry-phone-number",1
12,"NOT HELPFUL. ","waiting-support-retry-email",1
12,"NOT HELPFUL. ","waiting-support-cancel-issue",1
12,"Kiss my ass","waiting-restart-conversation",4
12,"Kiss my ass","waiting-feedback-root",3
12,"Kiss my ass","waiting-support-type",1
12,"Kiss my ass","waiting-support-parent-receiving-more",1
12,"Kiss my ass","waiting-caseqa-general-support-request",1
12,"Kiss my ass","waiting-feedback-helpful",1
12,"Kiss my ass","waiting-feedback-not-helpful",1
12,"Kiss my ass","ticketinfo",1
12,"Kiss my ass","waiting-pmt-calc-gross-income",1
12,"Kiss my ass","payment-factors",1
12,"Kiss my ass","waiting-pmt-calc-unknown-income",1
12,"Kiss my ass","waiting-support-retry-phone-number",1
12,"Kiss my ass","waiting-support-retry-email",1
12,"Kiss my ass","waiting-support-cancel-issue",1
12,"i don't know yet i haven't received any instructions on what needs to be done or what will be done","waiting-restart-conversation",4
12,"i don't know yet i haven't received any instructions on what needs to be done or what will be done","waiting-feedback-root",3
12,"i don't know yet i haven't received any instructions on what needs to be done or what will be done","waiting-support-type",1
