"occurences","queries","contexts.name","contexts.count"
30,"Do I even read these questions ","waiting-restart-conversation",10
30,"Do I even read these questions ","waiting-feedback-root",9
30,"Do I even read these questions ","waiting-pmtmethods-debit-card",4
30,"Do I even read these questions ","waiting-support-employer",3
30,"Do I even read these questions ","waiting-support-parent-paying",3
30,"Do I even read these questions ","waiting-support-parent-receiving",3
30,"Do I even read these questions ","waiting-open-csc-location-services",3
30,"Do I even read these questions ","waiting-open-csc-employer-payments",3
30,"Do I even read these questions ","waiting-open-csc-full-services",3
30,"Do I even read these questions ","waiting-eppi-get-card",2
30,"Do I even read these questions ","waiting-eppi-replace-report",2
30,"Do I even read these questions ","ticketinfo",2
30,"Do I even read these questions ","waiting-eppi-activate",2
30,"Do I even read these questions ","waiting-eppi-fees",2
30,"Do I even read these questions ","waiting-eppi-notifications",2
30,"Do I even read these questions ","waiting-caseqa-general-support-request",2
30,"Do I even read these questions ","waiting-eppi-faq",2
30,"Do I even read these questions ","waiting-pmtqa-ncp-payment-status-submit-request",1
30,"Do I even read these questions ","waiting-yes-child-support",1
30,"Do I even read these questions ","waiting-support-no-phone-number",1
30,"Do I even read these questions ","waiting-support-phone-number",1
30,"Do I even read these questions ","waiting-support-no-email",1
30,"Do I even read these questions ","waiting-support-email",1
30,"Do I even read these questions ","waiting-not-child-support",1
30,"Do I even read these questions ","waiting-iwo-disposable-income",1
30,"Do I even read these questions ","waiting-dirdep-no-learn-more-eppicard",1
30,"Do I even read these questions ","waiting-dirdep-learn-more-eppicard",1
30,"Do I even read these questions ","payment-factors",1
30,"Do I even read these questions ","waiting-pmt-calc-retirement-contributions",1
30,"Do I even read these questions ","waiting-pmt-calc-unknown-ss-deductions",1
30,"Do I even read these questions ","iwo-factors",1
30,"Can I speak to someone?","waiting-restart-conversation",10
30,"Can I speak to someone?","waiting-feedback-root",9
30,"Can I speak to someone?","waiting-pmtmethods-debit-card",4
30,"Can I speak to someone?","waiting-support-employer",3
