"occurences","queries","contexts.name","contexts.count"
22,"Print notices ","waiting-restart-conversation",5
22,"Print notices ","waiting-feedback-root",3
22,"Print notices ","request-type",2
22,"Print notices ","waiting-pmtmethods-debit-card",2
22,"Print notices ","waiting-contact-provide-phone-number",1
22,"Print notices ","waiting-support-employer",1
22,"Print notices ","waiting-caseqa-compliance-support-request",1
22,"Print notices ","waiting-support-parent-receiving",1
22,"Print notices ","waiting-pmtqa-yes-payment-reduction",1
22,"Print notices ","waiting-maps-deliver-map",1
22,"Print notices ","waiting-contact-support-handoff",1
22,"Print notices ","waiting-support-parent-paying",1
22,"I am trying to get a copy of my award letter ","waiting-restart-conversation",5
22,"I am trying to get a copy of my award letter ","waiting-feedback-root",3
22,"I am trying to get a copy of my award letter ","request-type",2
22,"I am trying to get a copy of my award letter ","waiting-pmtmethods-debit-card",2
22,"I am trying to get a copy of my award letter ","waiting-contact-provide-phone-number",1
22,"I am trying to get a copy of my award letter ","waiting-support-employer",1
22,"I am trying to get a copy of my award letter ","waiting-caseqa-compliance-support-request",1
22,"I am trying to get a copy of my award letter ","waiting-support-parent-receiving",1
22,"I am trying to get a copy of my award letter ","waiting-pmtqa-yes-payment-reduction",1
22,"I am trying to get a copy of my award letter ","waiting-maps-deliver-map",1
22,"I am trying to get a copy of my award letter ","waiting-contact-support-handoff",1
22,"I am trying to get a copy of my award letter ","waiting-support-parent-paying",1
22,"Award letter","waiting-restart-conversation",5
22,"Award letter","waiting-feedback-root",3
22,"Award letter","request-type",2
22,"Award letter","waiting-pmtmethods-debit-card",2
22,"Award letter","waiting-contact-provide-phone-number",1
22,"Award letter","waiting-support-employer",1
22,"Award letter","waiting-caseqa-compliance-support-request",1
22,"Award letter","waiting-support-parent-receiving",1
22,"Award letter","waiting-pmtqa-yes-payment-reduction",1
22,"Award letter","waiting-maps-deliver-map",1
22,"Award letter","waiting-contact-support-handoff",1
22,"Award letter","waiting-support-parent-paying",1
22,"I need proof of income","waiting-restart-conversation",5
22,"I need proof of income","waiting-feedback-root",3
22,"I need proof of income","request-type",2
22,"I need proof of income","waiting-pmtmethods-debit-card",2
22,"I need proof of income","waiting-contact-provide-phone-number",1
22,"I need proof of income","waiting-support-employer",1
22,"I need proof of income","waiting-caseqa-compliance-support-request",1
22,"I need proof of income","waiting-support-parent-receiving",1
22,"I need proof of income","waiting-pmtqa-yes-payment-reduction",1
22,"I need proof of income","waiting-maps-deliver-map",1
22,"I need proof of income","waiting-contact-support-handoff",1
22,"I need proof of income","waiting-support-parent-paying",1
22,"The letter I got in the mail saying something about a petition ","waiting-restart-conversation",5
22,"The letter I got in the mail saying something about a petition ","waiting-feedback-root",3
22,"The letter I got in the mail saying something about a petition ","request-type",2
22,"The letter I got in the mail saying something about a petition ","waiting-pmtmethods-debit-card",2
22,"The letter I got in the mail saying something about a petition ","waiting-contact-provide-phone-number",1
22,"The letter I got in the mail saying something about a petition ","waiting-support-employer",1
22,"The letter I got in the mail saying something about a petition ","waiting-caseqa-compliance-support-request",1
22,"The letter I got in the mail saying something about a petition ","waiting-support-parent-receiving",1
22,"The letter I got in the mail saying something about a petition ","waiting-pmtqa-yes-payment-reduction",1
22,"The letter I got in the mail saying something about a petition ","waiting-maps-deliver-map",1
22,"The letter I got in the mail saying something about a petition ","waiting-contact-support-handoff",1
22,"The letter I got in the mail saying something about a petition ","waiting-support-parent-paying",1
22,"I need a copy of my files","waiting-restart-conversation",5
22,"I need a copy of my files","waiting-feedback-root",3
22,"I need a copy of my files","request-type",2
22,"I need a copy of my files","waiting-pmtmethods-debit-card",2
22,"I need a copy of my files","waiting-contact-provide-phone-number",1
22,"I need a copy of my files","waiting-support-employer",1
22,"I need a copy of my files","waiting-caseqa-compliance-support-request",1
22,"I need a copy of my files","waiting-support-parent-receiving",1
22,"I need a copy of my files","waiting-pmtqa-yes-payment-reduction",1
22,"I need a copy of my files","waiting-maps-deliver-map",1
22,"I need a copy of my files","waiting-contact-support-handoff",1
22,"I need a copy of my files","waiting-support-parent-paying",1
22,"Child support forms","waiting-restart-conversation",5
22,"Child support forms","waiting-feedback-root",3
22,"Child support forms","request-type",2
22,"Child support forms","waiting-pmtmethods-debit-card",2
22,"Child support forms","waiting-contact-provide-phone-number",1
22,"Child support forms","waiting-support-employer",1
22,"Child support forms","waiting-caseqa-compliance-support-request",1
22,"Child support forms","waiting-support-parent-receiving",1
22,"Child support forms","waiting-pmtqa-yes-payment-reduction",1
22,"Child support forms","waiting-maps-deliver-map",1
22,"Child support forms","waiting-contact-support-handoff",1
22,"Child support forms","waiting-support-parent-paying",1
22,"I recieved monthly payments on my card and I am trying to get a copy of the deposits made for proof of income for my landlord ","waiting-restart-conversation",5
22,"I recieved monthly payments on my card and I am trying to get a copy of the deposits made for proof of income for my landlord ","waiting-feedback-root",3
22,"I recieved monthly payments on my card and I am trying to get a copy of the deposits made for proof of income for my landlord ","request-type",2
22,"I recieved monthly payments on my card and I am trying to get a copy of the deposits made for proof of income for my landlord ","waiting-pmtmethods-debit-card",2
22,"I recieved monthly payments on my card and I am trying to get a copy of the deposits made for proof of income for my landlord ","waiting-contact-provide-phone-number",1
