"occurences","queries","contexts.name","contexts.count"
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","ticketinfo",5
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-support-no-email",5
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-support-email",5
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-feedback-root",3
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-restart-conversation",2
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-faq",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-fees",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-support-parent-paying",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-activate",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-get-card",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-replace-report",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-support-parent-receiving",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-support-employer",1
16,"I've tried to change my email address and it wont accept it.  The email I had on the account I'm not using anymore.  It wont accept my new one., please help","waiting-eppi-notifications",1
16,"What is the email address for the call center?","ticketinfo",5
16,"What is the email address for the call center?","waiting-support-no-email",5
16,"What is the email address for the call center?","waiting-support-email",5
16,"What is the email address for the call center?","waiting-feedback-root",3
16,"What is the email address for the call center?","waiting-restart-conversation",2
16,"What is the email address for the call center?","waiting-eppi-faq",1
16,"What is the email address for the call center?","waiting-eppi-fees",1
16,"What is the email address for the call center?","waiting-support-parent-paying",1
16,"What is the email address for the call center?","waiting-eppi-activate",1
16,"What is the email address for the call center?","waiting-eppi-get-card",1
16,"What is the email address for the call center?","waiting-eppi-replace-report",1
16,"What is the email address for the call center?","waiting-support-parent-receiving",1
16,"What is the email address for the call center?","waiting-support-employer",1
16,"What is the email address for the call center?","waiting-eppi-notifications",1
16,"No email ","ticketinfo",5
16,"No email ","waiting-support-no-email",5
16,"No email ","waiting-support-email",5
16,"No email ","waiting-feedback-root",3
16,"No email ","waiting-restart-conversation",2
16,"No email ","waiting-eppi-faq",1
16,"No email ","waiting-eppi-fees",1
16,"No email ","waiting-support-parent-paying",1
16,"No email ","waiting-eppi-activate",1
16,"No email ","waiting-eppi-get-card",1
16,"No email ","waiting-eppi-replace-report",1
16,"No email ","waiting-support-parent-receiving",1
16,"No email ","waiting-support-employer",1
16,"No email ","waiting-eppi-notifications",1
16,"Email address ","ticketinfo",5
16,"Email address ","waiting-support-no-email",5
16,"Email address ","waiting-support-email",5
16,"Email address ","waiting-feedback-root",3
16,"Email address ","waiting-restart-conversation",2
16,"Email address ","waiting-eppi-faq",1
