"occurences","queries","contexts.name","contexts.count"
16,"how much ","waiting-restart-conversation",5
16,"how much ","waiting-support-employer",2
16,"how much ","waiting-support-parent-paying",2
16,"how much ","waiting-support-parent-receiving",2
16,"how much ","waiting-feedback-root",2
16,"how much ","request-type",1
16,"how much ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"I need current income transmittal for employers","waiting-restart-conversation",5
16,"I need current income transmittal for employers","waiting-support-employer",2
16,"I need current income transmittal for employers","waiting-support-parent-paying",2
16,"I need current income transmittal for employers","waiting-support-parent-receiving",2
16,"I need current income transmittal for employers","waiting-feedback-root",2
16,"I need current income transmittal for employers","request-type",1
16,"I need current income transmittal for employers","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-restart-conversation",5
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-support-employer",2
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-support-parent-paying",2
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-support-parent-receiving",2
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-feedback-root",2
16,"does the child support go by the amount the father makes and how many kids he has ","request-type",1
16,"does the child support go by the amount the father makes and how many kids he has ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"Medicaid","waiting-restart-conversation",5
16,"Medicaid","waiting-support-employer",2
16,"Medicaid","waiting-support-parent-paying",2
16,"Medicaid","waiting-support-parent-receiving",2
16,"Medicaid","waiting-feedback-root",2
16,"Medicaid","request-type",1
16,"Medicaid","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"Medicaid cooperation","waiting-restart-conversation",5
16,"Medicaid cooperation","waiting-support-employer",2
16,"Medicaid cooperation","waiting-support-parent-paying",2
16,"Medicaid cooperation","waiting-support-parent-receiving",2
16,"Medicaid cooperation","waiting-feedback-root",2
16,"Medicaid cooperation","request-type",1
16,"Medicaid cooperation","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"Can pregnant women get tanf ","waiting-restart-conversation",5
16,"Can pregnant women get tanf ","waiting-support-employer",2
16,"Can pregnant women get tanf ","waiting-support-parent-paying",2
16,"Can pregnant women get tanf ","waiting-support-parent-receiving",2
16,"Can pregnant women get tanf ","waiting-feedback-root",2
16,"Can pregnant women get tanf ","request-type",1
16,"Can pregnant women get tanf ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"not the same amount each month","waiting-restart-conversation",5
16,"not the same amount each month","waiting-support-employer",2
16,"not the same amount each month","waiting-support-parent-paying",2
16,"not the same amount each month","waiting-support-parent-receiving",2
16,"not the same amount each month","waiting-feedback-root",2
16,"not the same amount each month","request-type",1
16,"not the same amount each month","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"withholding amount for 1 individual with 6 kids","waiting-restart-conversation",5
16,"withholding amount for 1 individual with 6 kids","waiting-support-employer",2
16,"withholding amount for 1 individual with 6 kids","waiting-support-parent-paying",2
16,"withholding amount for 1 individual with 6 kids","waiting-support-parent-receiving",2
16,"withholding amount for 1 individual with 6 kids","waiting-feedback-root",2
16,"withholding amount for 1 individual with 6 kids","request-type",1
16,"withholding amount for 1 individual with 6 kids","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"what are the withholding limits","waiting-restart-conversation",5
16,"what are the withholding limits","waiting-support-employer",2
16,"what are the withholding limits","waiting-support-parent-paying",2
16,"what are the withholding limits","waiting-support-parent-receiving",2
16,"what are the withholding limits","waiting-feedback-root",2
16,"what are the withholding limits","request-type",1
16,"what are the withholding limits","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"What is the percent for child support in Mississippi ","waiting-restart-conversation",5
16,"What is the percent for child support in Mississippi ","waiting-support-employer",2
16,"What is the percent for child support in Mississippi ","waiting-support-parent-paying",2
16,"What is the percent for child support in Mississippi ","waiting-support-parent-receiving",2
16,"What is the percent for child support in Mississippi ","waiting-feedback-root",2
16,"What is the percent for child support in Mississippi ","request-type",1
16,"What is the percent for child support in Mississippi ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-restart-conversation",5
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-support-employer",2
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-support-parent-paying",2
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-support-parent-receiving",2
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-feedback-root",2
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","request-type",1
16,"I have to children and my net pay is DIGITS every two weeks how much support would I have to pay ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"Medicaid","waiting-restart-conversation",5
16,"Medicaid","waiting-support-employer",2
16,"Medicaid","waiting-support-parent-paying",2
16,"Medicaid","waiting-support-parent-receiving",2
16,"Medicaid","waiting-feedback-root",2
16,"Medicaid","request-type",1
16,"Medicaid","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"Medicaid","waiting-restart-conversation",5
16,"Medicaid","waiting-support-employer",2
16,"Medicaid","waiting-support-parent-paying",2
16,"Medicaid","waiting-support-parent-receiving",2
16,"Medicaid","waiting-feedback-root",2
16,"Medicaid","request-type",1
16,"Medicaid","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"How much is 3 kids ","waiting-restart-conversation",5
16,"How much is 3 kids ","waiting-support-employer",2
16,"How much is 3 kids ","waiting-support-parent-paying",2
16,"How much is 3 kids ","waiting-support-parent-receiving",2
16,"How much is 3 kids ","waiting-feedback-root",2
16,"How much is 3 kids ","request-type",1
16,"How much is 3 kids ","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"percentage of income","waiting-restart-conversation",5
16,"percentage of income","waiting-support-employer",2
16,"percentage of income","waiting-support-parent-paying",2
16,"percentage of income","waiting-support-parent-receiving",2
16,"percentage of income","waiting-feedback-root",2
16,"percentage of income","request-type",1
16,"percentage of income","waiting-pmtqa-ncp-payment-status-submit-request",1
16,"How much does someone making $49,000 a year pay in child support?","waiting-restart-conversation",5
16,"How much does someone making $49,000 a year pay in child support?","waiting-support-employer",2
16,"How much does someone making $49,000 a year pay in child support?","waiting-support-parent-paying",2
16,"How much does someone making $49,000 a year pay in child support?","waiting-support-parent-receiving",2
16,"How much does someone making $49,000 a year pay in child support?","waiting-feedback-root",2
16,"How much does someone making $49,000 a year pay in child support?","request-type",1
16,"How much does someone making $49,000 a year pay in child support?","waiting-pmtqa-ncp-payment-status-submit-request",1
