"occurences","queries","contexts.name","contexts.count"
32,"no thank you for your help","waiting-restart-conversation",15
32,"no thank you for your help","waiting-feedback-root",13
32,"no thank you for your help","waiting-support-cancel-issue",10
32,"no thank you for your help","waiting-pmtmethods-debit-card",3
32,"no thank you for your help","waiting-pmts-general-receive-payments",2
32,"no thank you for your help","waiting-feedback-helpful",2
32,"no thank you for your help","waiting-pmts-general-non-custodial",2
32,"no thank you for your help","waiting-pmtmethods-withhold-payments",1
32,"no thank you for your help","waiting-maps-deliver-map",1
32,"no thank you for your help","waiting-pmtmethods-cant-make",1
32,"no thank you for your help","waiting-support-type",1
32,"no thank you for your help","waiting-support-employment-status",1
32,"no thank you for your help","waiting-support-general-inquiries",1
32,"no thank you for your help","waiting-pmtmethods-cash",1
32,"no thank you for your help","waiting-feedback-complete",1
32,"no thank you for your help","waiting-support-phone-number",1
32,"no thank you for your help","waiting-support-no-phone-number",1
32,"no thank you for your help","waiting-pmtmethods-checkormoneyorder",1
32,"no thank you for your help","waiting-support-employer",1
32,"no thank you for your help","waiting-support-parent-paying",1
32,"no thank you for your help","waiting-support-parent-receiving",1
32,"no thank you for your help","waiting-eppi-faq",1
32,"no thank you for your help","waiting-eppi-notifications",1
32,"no thank you for your help","waiting-eppi-fees",1
32,"no thank you for your help","waiting-eppi-activate",1
32,"no thank you for your help","waiting-eppi-replace-report",1
32,"no thank you for your help","waiting-eppi-get-card",1
32,"no thank you for your help","waiting-pmtmethods-paynearme",1
32,"no thank you for your help","waiting-pmtmethods-moneygram",1
32,"no thank you for your help","waiting-pmtqa-ncp-payment-status-submit-request",1
32,"no thank you for your help","waiting-feedback-not-helpful",1
32,"no thank you for your help","waiting-pmtmethods-echeckdebit",1
32,"no thank you for your help","waiting-caseqa-general-support-request",1
32,"no thank you for your help","ticketinfo",1
32,"No thaks","waiting-restart-conversation",15
32,"No thaks","waiting-feedback-root",13
32,"No thaks","waiting-support-cancel-issue",10
32,"No thaks","waiting-pmtmethods-debit-card",3
32,"No thaks","waiting-pmts-general-receive-payments",2
32,"No thaks","waiting-feedback-helpful",2
32,"No thaks","waiting-pmts-general-non-custodial",2
32,"No thaks","waiting-pmtmethods-withhold-payments",1
32,"No thaks","waiting-maps-deliver-map",1
32,"No thaks","waiting-pmtmethods-cant-make",1
32,"No thaks","waiting-support-type",1
32,"No thaks","waiting-support-employment-status",1
32,"No thaks","waiting-support-general-inquiries",1
32,"No thaks","waiting-pmtmethods-cash",1
32,"No thaks","waiting-feedback-complete",1
32,"No thaks","waiting-support-phone-number",1
32,"No thaks","waiting-support-no-phone-number",1
32,"No thaks","waiting-pmtmethods-checkormoneyorder",1
32,"No thaks","waiting-support-employer",1
32,"No thaks","waiting-support-parent-paying",1
32,"No thaks","waiting-support-parent-receiving",1
32,"No thaks","waiting-eppi-faq",1
32,"No thaks","waiting-eppi-notifications",1
32,"No thaks","waiting-eppi-fees",1
32,"No thaks","waiting-eppi-activate",1
32,"No thaks","waiting-eppi-replace-report",1
32,"No thaks","waiting-eppi-get-card",1
32,"No thaks","waiting-pmtmethods-paynearme",1
32,"No thaks","waiting-pmtmethods-moneygram",1
32,"No thaks","waiting-pmtqa-ncp-payment-status-submit-request",1
32,"No thaks","waiting-feedback-not-helpful",1
32,"No thaks","waiting-pmtmethods-echeckdebit",1
32,"No thaks","waiting-caseqa-general-support-request",1
32,"No thaks","ticketinfo",1
32,"Ok","waiting-restart-conversation",15
32,"Ok","waiting-feedback-root",13
32,"Ok","waiting-support-cancel-issue",10
32,"Ok","waiting-pmtmethods-debit-card",3
32,"Ok","waiting-pmts-general-receive-payments",2
32,"Ok","waiting-feedback-helpful",2
32,"Ok","waiting-pmts-general-non-custodial",2
32,"Ok","waiting-pmtmethods-withhold-payments",1
32,"Ok","waiting-maps-deliver-map",1
32,"Ok","waiting-pmtmethods-cant-make",1
32,"Ok","waiting-support-type",1
32,"Ok","waiting-support-employment-status",1
32,"Ok","waiting-support-general-inquiries",1
32,"Ok","waiting-pmtmethods-cash",1
32,"Ok","waiting-feedback-complete",1
32,"Ok","waiting-support-phone-number",1
32,"Ok","waiting-support-no-phone-number",1
32,"Ok","waiting-pmtmethods-checkormoneyorder",1
32,"Ok","waiting-support-employer",1
32,"Ok","waiting-support-parent-paying",1
32,"Ok","waiting-support-parent-receiving",1
32,"Ok","waiting-eppi-faq",1
32,"Ok","waiting-eppi-notifications",1
32,"Ok","waiting-eppi-fees",1
32,"Ok","waiting-eppi-activate",1
32,"Ok","waiting-eppi-replace-report",1
32,"Ok","waiting-eppi-get-card",1
32,"Ok","waiting-pmtmethods-paynearme",1
32,"Ok","waiting-pmtmethods-moneygram",1
32,"Ok","waiting-pmtqa-ncp-payment-status-submit-request",1
32,"Ok","waiting-feedback-not-helpful",1
32,"Ok","waiting-pmtmethods-echeckdebit",1
32,"Ok","waiting-caseqa-general-support-request",1
32,"Ok","ticketinfo",1
32,"Ok","waiting-restart-conversation",15
32,"Ok","waiting-feedback-root",13
32,"Ok","waiting-support-cancel-issue",10
32,"Ok","waiting-pmtmethods-debit-card",3
32,"Ok","waiting-pmts-general-receive-payments",2
32,"Ok","waiting-feedback-helpful",2
32,"Ok","waiting-pmts-general-non-custodial",2
32,"Ok","waiting-pmtmethods-withhold-payments",1
32,"Ok","waiting-maps-deliver-map",1
32,"Ok","waiting-pmtmethods-cant-make",1
32,"Ok","waiting-support-type",1
32,"Ok","waiting-support-employment-status",1
32,"Ok","waiting-support-general-inquiries",1
32,"Ok","waiting-pmtmethods-cash",1
32,"Ok","waiting-feedback-complete",1
32,"Ok","waiting-support-phone-number",1
32,"Ok","waiting-support-no-phone-number",1
32,"Ok","waiting-pmtmethods-checkormoneyorder",1
32,"Ok","waiting-support-employer",1
32,"Ok","waiting-support-parent-paying",1
32,"Ok","waiting-support-parent-receiving",1
32,"Ok","waiting-eppi-faq",1
32,"Ok","waiting-eppi-notifications",1
32,"Ok","waiting-eppi-fees",1
32,"Ok","waiting-eppi-activate",1
32,"Ok","waiting-eppi-replace-report",1
32,"Ok","waiting-eppi-get-card",1
