"occurences","queries","contexts.name","contexts.count"
58,"Somewhat","payment-factors",12
58,"Somewhat","ticketinfo",11
58,"Somewhat","waiting-support-cancel-issue",10
58,"Somewhat","waiting-feedback-helpful",9
58,"Somewhat","waiting-feedback-not-helpful",9
58,"Somewhat","waiting-open-csc-location-services",8
58,"Somewhat","waiting-open-csc-employer-payments",7
58,"Somewhat","waiting-open-csc-full-services",7
58,"Somewhat","waiting-pmtmethods-debit-card",6
58,"Somewhat","waiting-feedback-root",4
58,"Somewhat","waiting-pmt-calc-unknown-income",4
58,"Somewhat","waiting-restart-conversation",4
58,"Somewhat","waiting-support-no-phone-number",3
58,"Somewhat","waiting-support-phone-number",3
58,"Somewhat","waiting-support-no-case-number",3
58,"Somewhat","waiting-support-case-number",3
58,"Somewhat","waiting-pmt-calc-gross-income",3
58,"Somewhat","waiting-pmt-calc-unknown-tax-deductions",3
58,"Somewhat","waiting-pmt-calc-ss-deductions",3
58,"Somewhat","waiting-support-type",2
58,"Somewhat","waiting-support-no-email",2
58,"Somewhat","waiting-pmt-calc-unknown-ss-deductions",2
58,"Somewhat","waiting-pmt-calc-retirement-contributions",2
58,"Somewhat","waiting-support-email",2
58,"Somewhat","waiting-open-csc-select-form",2
58,"Somewhat","waiting-open-csc-no-service",2
58,"Somewhat","waiting-pmt-calc-tax-deductions",1
58,"Somewhat","waiting-dirdep-change",1
58,"Somewhat","waiting-dirdep-stop",1
58,"Somewhat","waiting-appts-yes-contacted",1
58,"Somewhat","waiting-caseqa-general-support-request",1
58,"Somewhat","waiting-support-retry-email",1
58,"Somewhat","waiting-support-retry-phone-number",1
58,"Somewhat","waiting-pmt-calc-child-support-no-retirement",1
58,"Somewhat","waiting-support-restart",1
58,"Somewhat","waiting-support-revise-issue",1
58,"Somewhat","waiting-support-submit-issue",1
58,"Somewhat","waiting-iwo-no-assistance",1
58,"Somewhat","waiting-iwo-faqs",1
58,"Somewhat","waiting-iwo-wants-assistance",1
58,"Somewhat","waiting-feedback-complete",1
58,"Somewhat","waiting-pmt-calc-retirement-contributions-amount",1
58,"Somewhat","waiting-dirdep-start",1
58,"None of the above","payment-factors",12
58,"None of the above","ticketinfo",11
58,"None of the above","waiting-support-cancel-issue",10
58,"None of the above","waiting-feedback-helpful",9
58,"None of the above","waiting-feedback-not-helpful",9
58,"None of the above","waiting-open-csc-location-services",8
58,"None of the above","waiting-open-csc-employer-payments",7
58,"None of the above","waiting-open-csc-full-services",7
58,"None of the above","waiting-pmtmethods-debit-card",6
58,"None of the above","waiting-feedback-root",4
58,"None of the above","waiting-pmt-calc-unknown-income",4
58,"None of the above","waiting-restart-conversation",4
58,"None of the above","waiting-support-no-phone-number",3
58,"None of the above","waiting-support-phone-number",3
58,"None of the above","waiting-support-no-case-number",3
