"occurences","queries","contexts.name","contexts.count"
7,"Can you explain the interest and what state statute speaks to this.","waiting-maps-deliver-map",4
7,"Can you explain the interest and what state statute speaks to this.","payment-factors",2
7,"Can you explain the interest and what state statute speaks to this.","waiting-caseqa-general-support-request",1
7,"Can you explain the interest and what state statute speaks to this.","waiting-restart-conversation",1
7,"I'm in Florida but the case in starkville ms","waiting-maps-deliver-map",4
7,"I'm in Florida but the case in starkville ms","payment-factors",2
7,"I'm in Florida but the case in starkville ms","waiting-caseqa-general-support-request",1
7,"I'm in Florida but the case in starkville ms","waiting-restart-conversation",1
7,"If the NCP resides in another state does he/she still have to abide by the Mississippi guidelines?","waiting-maps-deliver-map",4
7,"If the NCP resides in another state does he/she still have to abide by the Mississippi guidelines?","payment-factors",2
7,"If the NCP resides in another state does he/she still have to abide by the Mississippi guidelines?","waiting-caseqa-general-support-request",1
7,"If the NCP resides in another state does he/she still have to abide by the Mississippi guidelines?","waiting-restart-conversation",1
7,"Hey is there a difference between the Mississippi department of human services and the  Mississippi Division of Child Support","waiting-maps-deliver-map",4
7,"Hey is there a difference between the Mississippi department of human services and the  Mississippi Division of Child Support","payment-factors",2
7,"Hey is there a difference between the Mississippi department of human services and the  Mississippi Division of Child Support","waiting-caseqa-general-support-request",1
7,"Hey is there a difference between the Mississippi department of human services and the  Mississippi Division of Child Support","waiting-restart-conversation",1
7,"Transfer a case here from Florida","waiting-maps-deliver-map",4
7,"Transfer a case here from Florida","payment-factors",2
7,"Transfer a case here from Florida","waiting-caseqa-general-support-request",1
7,"Transfer a case here from Florida","waiting-restart-conversation",1
7,"104adamsrd PERSON_NAME mississippi ZIPCODE","waiting-maps-deliver-map",4
7,"104adamsrd PERSON_NAME mississippi ZIPCODE","payment-factors",2
7,"104adamsrd PERSON_NAME mississippi ZIPCODE","waiting-caseqa-general-support-request",1
7,"104adamsrd PERSON_NAME mississippi ZIPCODE","waiting-restart-conversation",1
7,"104 adamsrd PERSON_NAME mississippi","waiting-maps-deliver-map",4
7,"104 adamsrd PERSON_NAME mississippi","payment-factors",2
7,"104 adamsrd PERSON_NAME mississippi","waiting-caseqa-general-support-request",1
7,"104 adamsrd PERSON_NAME mississippi","waiting-restart-conversation",1
