"occurences","queries","contexts.name","contexts.count"
18,"ZIPCODE","waiting-feedback-root",4
18,"ZIPCODE","waiting-restart-conversation",4
18,"ZIPCODE","payment-factors",3
18,"ZIPCODE","request-type",2
18,"ZIPCODE","ticketinfo",2
18,"ZIPCODE","waiting-maps-deliver-map",2
18,"ZIPCODE","waiting-support-no-phone-number",1
18,"ZIPCODE","waiting-support-no-email",1
18,"ZIPCODE","waiting-support-employer",1
18,"ZIPCODE","waiting-support-parent-paying",1
18,"ZIPCODE","waiting-support-email",1
18,"ZIPCODE","waiting-support-parent-receiving",1
18,"ZIPCODE","waiting-pmts-general-non-custodial",1
18,"ZIPCODE","waiting-pmts-general-receive-payments",1
18,"ZIPCODE","waiting-support-phone-number",1
18,"ZIPCODE","waiting-feedback-helpful",1
18,"ZIPCODE","waiting-feedback-not-helpful",1
18,"ZIPCODE","waiting-appts-office-locations",1
18,"ZIPCODE","waiting-appts-guidelines",1
18,"ZIPCODE","waiting-appts-schedule",1
18,"Location I need to go to?","waiting-feedback-root",4
18,"Location I need to go to?","waiting-restart-conversation",4
18,"Location I need to go to?","payment-factors",3
18,"Location I need to go to?","request-type",2
18,"Location I need to go to?","ticketinfo",2
18,"Location I need to go to?","waiting-maps-deliver-map",2
18,"Location I need to go to?","waiting-support-no-phone-number",1
18,"Location I need to go to?","waiting-support-no-email",1
18,"Location I need to go to?","waiting-support-employer",1
18,"Location I need to go to?","waiting-support-parent-paying",1
18,"Location I need to go to?","waiting-support-email",1
18,"Location I need to go to?","waiting-support-parent-receiving",1
18,"Location I need to go to?","waiting-pmts-general-non-custodial",1
18,"Location I need to go to?","waiting-pmts-general-receive-payments",1
18,"Location I need to go to?","waiting-support-phone-number",1
18,"Location I need to go to?","waiting-feedback-helpful",1
18,"Location I need to go to?","waiting-feedback-not-helpful",1
18,"Location I need to go to?","waiting-appts-office-locations",1
18,"Location I need to go to?","waiting-appts-guidelines",1
18,"Location I need to go to?","waiting-appts-schedule",1
18,"PERSON_NAME address for  support services ","waiting-feedback-root",4
18,"PERSON_NAME address for  support services ","waiting-restart-conversation",4
18,"PERSON_NAME address for  support services ","payment-factors",3
18,"PERSON_NAME address for  support services ","request-type",2
18,"PERSON_NAME address for  support services ","ticketinfo",2
