"occurences","queries","contexts.name","contexts.count"
5,"notice of monthly paymnet","waiting-feedback-root",1
5,"notice of monthly paymnet","waiting-restart-conversation",1
5,"notice of monthly paymnet","waiting-support-cancel-issue",1
5,"I need my last 3 months of my transactions from child support","waiting-feedback-root",1
5,"I need my last 3 months of my transactions from child support","waiting-restart-conversation",1
5,"I need my last 3 months of my transactions from child support","waiting-support-cancel-issue",1
5,"Can you help me find a record of payments made?","waiting-feedback-root",1
5,"Can you help me find a record of payments made?","waiting-restart-conversation",1
5,"Can you help me find a record of payments made?","waiting-support-cancel-issue",1
5,"Find a record of payments I made","waiting-feedback-root",1
5,"Find a record of payments I made","waiting-restart-conversation",1
5,"Find a record of payments I made","waiting-support-cancel-issue",1
5,"Can you show me any recent activity on my account?","waiting-feedback-root",1
5,"Can you show me any recent activity on my account?","waiting-restart-conversation",1
5,"Can you show me any recent activity on my account?","waiting-support-cancel-issue",1
