"occurences","queries","contexts.name","contexts.count"
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmts-general-receive-payments",3
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmts-general-non-custodial",3
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-restart-conversation",3
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-debit-card",3
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-withhold-payments",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-cash",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-feedback-root",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-checkormoneyorder",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-echeckdebit",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmtmethods-cant-make",2
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmt-calc-gross-income",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-replace-report",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-activate",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-notifications",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-fees",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-faq",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-eppi-get-card",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","payment-factors",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-pmt-calc-unknown-income",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-support-type",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-support-restart",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","waiting-support-handle-employment-status",1
25,"I wanted to know the dates that funds will be available for the month of October 2019","ticketinfo",1
25,"How do child support payments are receive ","waiting-pmts-general-receive-payments",3
25,"How do child support payments are receive ","waiting-pmts-general-non-custodial",3
25,"How do child support payments are receive ","waiting-restart-conversation",3
25,"How do child support payments are receive ","waiting-pmtmethods-debit-card",3
25,"How do child support payments are receive ","waiting-pmtmethods-withhold-payments",2
25,"How do child support payments are receive ","waiting-pmtmethods-cash",2
25,"How do child support payments are receive ","waiting-feedback-root",2
25,"How do child support payments are receive ","waiting-pmtmethods-checkormoneyorder",2
25,"How do child support payments are receive ","waiting-pmtmethods-echeckdebit",2
25,"How do child support payments are receive ","waiting-pmtmethods-cant-make",2
25,"How do child support payments are receive ","waiting-pmt-calc-gross-income",1
25,"How do child support payments are receive ","waiting-eppi-replace-report",1
25,"How do child support payments are receive ","waiting-eppi-activate",1
25,"How do child support payments are receive ","waiting-eppi-notifications",1
25,"How do child support payments are receive ","waiting-eppi-fees",1
25,"How do child support payments are receive ","waiting-eppi-faq",1
25,"How do child support payments are receive ","waiting-eppi-get-card",1
25,"How do child support payments are receive ","payment-factors",1
25,"How do child support payments are receive ","waiting-pmt-calc-unknown-income",1
25,"How do child support payments are receive ","waiting-support-type",1
25,"How do child support payments are receive ","waiting-support-restart",1
25,"How do child support payments are receive ","waiting-support-handle-employment-status",1
25,"How do child support payments are receive ","ticketinfo",1
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmts-general-receive-payments",3
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmts-general-non-custodial",3
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-restart-conversation",3
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmtmethods-debit-card",3
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmtmethods-withhold-payments",2
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmtmethods-cash",2
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-feedback-root",2
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmtmethods-checkormoneyorder",2
25,"How long it takes for a payment to post if you mailed it to Jackson,  MS a couple days ago","waiting-pmtmethods-echeckdebit",2
