"occurences","queries","contexts.name","contexts.count"
14,"food safety","waiting-support-employer",5
14,"food safety","request-type",5
14,"food safety","waiting-support-parent-receiving",5
14,"food safety","waiting-support-parent-paying",5
14,"food safety","waiting-feedback-root",3
14,"food safety","waiting-open-csc-location-services",2
14,"food safety","waiting-restart-conversation",2
14,"food safety","waiting-open-csc-employer-payments",2
14,"food safety","waiting-open-csc-no-service",1
14,"food safety","waiting-open-csc-select-form",1
14,"food safety","waiting-open-csc-full-services",1
14,"how do i recertify for snap","waiting-support-employer",5
14,"how do i recertify for snap","request-type",5
14,"how do i recertify for snap","waiting-support-parent-receiving",5
14,"how do i recertify for snap","waiting-support-parent-paying",5
14,"how do i recertify for snap","waiting-feedback-root",3
14,"how do i recertify for snap","waiting-open-csc-location-services",2
14,"how do i recertify for snap","waiting-restart-conversation",2
14,"how do i recertify for snap","waiting-open-csc-employer-payments",2
14,"how do i recertify for snap","waiting-open-csc-no-service",1
14,"how do i recertify for snap","waiting-open-csc-select-form",1
14,"how do i recertify for snap","waiting-open-csc-full-services",1
14,"Food stamps ","waiting-support-employer",5
14,"Food stamps ","request-type",5
14,"Food stamps ","waiting-support-parent-receiving",5
14,"Food stamps ","waiting-support-parent-paying",5
14,"Food stamps ","waiting-feedback-root",3
14,"Food stamps ","waiting-open-csc-location-services",2
14,"Food stamps ","waiting-restart-conversation",2
14,"Food stamps ","waiting-open-csc-employer-payments",2
14,"Food stamps ","waiting-open-csc-no-service",1
14,"Food stamps ","waiting-open-csc-select-form",1
14,"Food stamps ","waiting-open-csc-full-services",1
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-support-employer",5
14,"Trying to get the code removed from my name so I can get food stamps ","request-type",5
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-support-parent-receiving",5
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-support-parent-paying",5
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-feedback-root",3
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-open-csc-location-services",2
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-restart-conversation",2
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-open-csc-employer-payments",2
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-open-csc-no-service",1
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-open-csc-select-form",1
14,"Trying to get the code removed from my name so I can get food stamps ","waiting-open-csc-full-services",1
14,"Food Stamps","waiting-support-employer",5
14,"Food Stamps","request-type",5
14,"Food Stamps","waiting-support-parent-receiving",5
14,"Food Stamps","waiting-support-parent-paying",5
14,"Food Stamps","waiting-feedback-root",3
14,"Food Stamps","waiting-open-csc-location-services",2
14,"Food Stamps","waiting-restart-conversation",2
14,"Food Stamps","waiting-open-csc-employer-payments",2
14,"Food Stamps","waiting-open-csc-no-service",1
14,"Food Stamps","waiting-open-csc-select-form",1
14,"Food Stamps","waiting-open-csc-full-services",1
14,"Food stamp app","waiting-support-employer",5
14,"Food stamp app","request-type",5
14,"Food stamp app","waiting-support-parent-receiving",5
14,"Food stamp app","waiting-support-parent-paying",5
14,"Food stamp app","waiting-feedback-root",3
14,"Food stamp app","waiting-open-csc-location-services",2
14,"Food stamp app","waiting-restart-conversation",2
14,"Food stamp app","waiting-open-csc-employer-payments",2
14,"Food stamp app","waiting-open-csc-no-service",1
14,"Food stamp app","waiting-open-csc-select-form",1
14,"Food stamp app","waiting-open-csc-full-services",1
14,"snap","waiting-support-employer",5
14,"snap","request-type",5
14,"snap","waiting-support-parent-receiving",5
14,"snap","waiting-support-parent-paying",5
14,"snap","waiting-feedback-root",3
14,"snap","waiting-open-csc-location-services",2
14,"snap","waiting-restart-conversation",2
14,"snap","waiting-open-csc-employer-payments",2
14,"snap","waiting-open-csc-no-service",1
14,"snap","waiting-open-csc-select-form",1
14,"snap","waiting-open-csc-full-services",1
14,"Snap app","waiting-support-employer",5
14,"Snap app","request-type",5
14,"Snap app","waiting-support-parent-receiving",5
14,"Snap app","waiting-support-parent-paying",5
14,"Snap app","waiting-feedback-root",3
14,"Snap app","waiting-open-csc-location-services",2
14,"Snap app","waiting-restart-conversation",2
14,"Snap app","waiting-open-csc-employer-payments",2
14,"Snap app","waiting-open-csc-no-service",1
14,"Snap app","waiting-open-csc-select-form",1
14,"Snap app","waiting-open-csc-full-services",1
14,"Snap recertify ","waiting-support-employer",5
14,"Snap recertify ","request-type",5
14,"Snap recertify ","waiting-support-parent-receiving",5
14,"Snap recertify ","waiting-support-parent-paying",5
14,"Snap recertify ","waiting-feedback-root",3
14,"Snap recertify ","waiting-open-csc-location-services",2
14,"Snap recertify ","waiting-restart-conversation",2
14,"Snap recertify ","waiting-open-csc-employer-payments",2
14,"Snap recertify ","waiting-open-csc-no-service",1
14,"Snap recertify ","waiting-open-csc-select-form",1
14,"Snap recertify ","waiting-open-csc-full-services",1
14,"Emergency foodstamp","waiting-support-employer",5
14,"Emergency foodstamp","request-type",5
14,"Emergency foodstamp","waiting-support-parent-receiving",5
14,"Emergency foodstamp","waiting-support-parent-paying",5
14,"Emergency foodstamp","waiting-feedback-root",3
14,"Emergency foodstamp","waiting-open-csc-location-services",2
14,"Emergency foodstamp","waiting-restart-conversation",2
14,"Emergency foodstamp","waiting-open-csc-employer-payments",2
14,"Emergency foodstamp","waiting-open-csc-no-service",1
14,"Emergency foodstamp","waiting-open-csc-select-form",1
14,"Emergency foodstamp","waiting-open-csc-full-services",1
14,"food stamps","waiting-support-employer",5
14,"food stamps","request-type",5
14,"food stamps","waiting-support-parent-receiving",5
14,"food stamps","waiting-support-parent-paying",5
14,"food stamps","waiting-feedback-root",3
14,"food stamps","waiting-open-csc-location-services",2
14,"food stamps","waiting-restart-conversation",2
14,"food stamps","waiting-open-csc-employer-payments",2
14,"food stamps","waiting-open-csc-no-service",1
14,"food stamps","waiting-open-csc-select-form",1
14,"food stamps","waiting-open-csc-full-services",1
14,"Need my snap benefit printout","waiting-support-employer",5
14,"Need my snap benefit printout","request-type",5
14,"Need my snap benefit printout","waiting-support-parent-receiving",5
14,"Need my snap benefit printout","waiting-support-parent-paying",5
14,"Need my snap benefit printout","waiting-feedback-root",3
14,"Need my snap benefit printout","waiting-open-csc-location-services",2
14,"Need my snap benefit printout","waiting-restart-conversation",2
14,"Need my snap benefit printout","waiting-open-csc-employer-payments",2
14,"Need my snap benefit printout","waiting-open-csc-no-service",1
14,"Need my snap benefit printout","waiting-open-csc-select-form",1
14,"Need my snap benefit printout","waiting-open-csc-full-services",1
14,"How do I know if I’m approved for food stamps ","waiting-support-employer",5
14,"How do I know if I’m approved for food stamps ","request-type",5
14,"How do I know if I’m approved for food stamps ","waiting-support-parent-receiving",5
14,"How do I know if I’m approved for food stamps ","waiting-support-parent-paying",5
14,"How do I know if I’m approved for food stamps ","waiting-feedback-root",3
14,"How do I know if I’m approved for food stamps ","waiting-open-csc-location-services",2
14,"How do I know if I’m approved for food stamps ","waiting-restart-conversation",2
14,"How do I know if I’m approved for food stamps ","waiting-open-csc-employer-payments",2
14,"How do I know if I’m approved for food stamps ","waiting-open-csc-no-service",1
14,"How do I know if I’m approved for food stamps ","waiting-open-csc-select-form",1
14,"How do I know if I’m approved for food stamps ","waiting-open-csc-full-services",1
14,"I want to know if I was approved for food stamps ","waiting-support-employer",5
14,"I want to know if I was approved for food stamps ","request-type",5
14,"I want to know if I was approved for food stamps ","waiting-support-parent-receiving",5
14,"I want to know if I was approved for food stamps ","waiting-support-parent-paying",5
14,"I want to know if I was approved for food stamps ","waiting-feedback-root",3
14,"I want to know if I was approved for food stamps ","waiting-open-csc-location-services",2
14,"I want to know if I was approved for food stamps ","waiting-restart-conversation",2
14,"I want to know if I was approved for food stamps ","waiting-open-csc-employer-payments",2
14,"I want to know if I was approved for food stamps ","waiting-open-csc-no-service",1
14,"I want to know if I was approved for food stamps ","waiting-open-csc-select-form",1
14,"I want to know if I was approved for food stamps ","waiting-open-csc-full-services",1
