"occurences","queries","contexts.name","contexts.count"
5,"Tanf","waiting-support-employer",1
5,"Tanf","waiting-support-parent-paying",1
5,"Tanf","waiting-support-parent-receiving",1
5,"Tanf","ticketinfo",1
5,"Tanf ","waiting-support-employer",1
5,"Tanf ","waiting-support-parent-paying",1
5,"Tanf ","waiting-support-parent-receiving",1
5,"Tanf ","ticketinfo",1
5,"604532213c","waiting-support-employer",1
5,"604532213c","waiting-support-parent-paying",1
5,"604532213c","waiting-support-parent-receiving",1
5,"604532213c","ticketinfo",1
5,"TANF","waiting-support-employer",1
5,"TANF","waiting-support-parent-paying",1
5,"TANF","waiting-support-parent-receiving",1
5,"TANF","ticketinfo",1
5,"Ellisquivalent ","waiting-support-employer",1
5,"Ellisquivalent ","waiting-support-parent-paying",1
5,"Ellisquivalent ","waiting-support-parent-receiving",1
5,"Ellisquivalent ","ticketinfo",1
