"occurences","queries","contexts.name","contexts.count"
14,"child support verification form","waiting-support-type",2
14,"child support verification form","waiting-open-csc-location-services",2
14,"child support verification form","waiting-open-csc-select-form",2
14,"child support verification form","waiting-open-csc-no-service",2
14,"child support verification form","waiting-support-general-inquiries",1
14,"child support verification form","waiting-open-csc-employer-payments",1
14,"child support verification form","waiting-open-csc-full-services",1
14,"child support verification form","waiting-pmt-calc-gross-income",1
14,"child support verification form","payment-factors",1
14,"child support verification form","waiting-support-restart",1
14,"child support verification form","waiting-support-employer",1
14,"child support verification form","waiting-support-parent-paying",1
14,"child support verification form","waiting-support-parent-receiving",1
14,"child support verification form","waiting-pmtmethods-cant-make",1
14,"child support verification form","waiting-pmtmethods-checkormoneyorder",1
14,"child support verification form","waiting-pmtmethods-withhold-payments",1
14,"child support verification form","waiting-pmtmethods-cash",1
14,"child support verification form","waiting-pmtmethods-echeckdebit",1
14,"child support verification form","waiting-pmt-calc-unknown-income",1
14,"Verification ","waiting-support-type",2
14,"Verification ","waiting-open-csc-location-services",2
14,"Verification ","waiting-open-csc-select-form",2
14,"Verification ","waiting-open-csc-no-service",2
14,"Verification ","waiting-support-general-inquiries",1
14,"Verification ","waiting-open-csc-employer-payments",1
14,"Verification ","waiting-open-csc-full-services",1
14,"Verification ","waiting-pmt-calc-gross-income",1
14,"Verification ","payment-factors",1
14,"Verification ","waiting-support-restart",1
14,"Verification ","waiting-support-employer",1
14,"Verification ","waiting-support-parent-paying",1
14,"Verification ","waiting-support-parent-receiving",1
14,"Verification ","waiting-pmtmethods-cant-make",1
14,"Verification ","waiting-pmtmethods-checkormoneyorder",1
14,"Verification ","waiting-pmtmethods-withhold-payments",1
14,"Verification ","waiting-pmtmethods-cash",1
14,"Verification ","waiting-pmtmethods-echeckdebit",1
14,"Verification ","waiting-pmt-calc-unknown-income",1
14,"i need a MS verification form","waiting-support-type",2
14,"i need a MS verification form","waiting-open-csc-location-services",2
14,"i need a MS verification form","waiting-open-csc-select-form",2
14,"i need a MS verification form","waiting-open-csc-no-service",2
14,"i need a MS verification form","waiting-support-general-inquiries",1
14,"i need a MS verification form","waiting-open-csc-employer-payments",1
14,"i need a MS verification form","waiting-open-csc-full-services",1
14,"i need a MS verification form","waiting-pmt-calc-gross-income",1
14,"i need a MS verification form","payment-factors",1
14,"i need a MS verification form","waiting-support-restart",1
14,"i need a MS verification form","waiting-support-employer",1
14,"i need a MS verification form","waiting-support-parent-paying",1
14,"i need a MS verification form","waiting-support-parent-receiving",1
14,"i need a MS verification form","waiting-pmtmethods-cant-make",1
14,"i need a MS verification form","waiting-pmtmethods-checkormoneyorder",1
14,"i need a MS verification form","waiting-pmtmethods-withhold-payments",1
14,"i need a MS verification form","waiting-pmtmethods-cash",1
14,"i need a MS verification form","waiting-pmtmethods-echeckdebit",1
14,"i need a MS verification form","waiting-pmt-calc-unknown-income",1
14,"I am receiving child support for 3 kids and I need proof of how much the payment is","waiting-support-type",2
