"occurences","queries","contexts.name","contexts.count"
23,"Roderick","ticketinfo",5
23,"Roderick","waiting-restart-conversation",5
23,"Roderick","waiting-feedback-root",5
23,"Roderick","waiting-support-employer",3
23,"Roderick","waiting-support-no-email",3
23,"Roderick","waiting-support-email",3
23,"Roderick","waiting-support-parent-receiving",3
23,"Roderick","waiting-support-parent-paying",3
23,"Roderick","request-type",2
23,"Roderick","waiting-support-type",2
23,"Roderick","waiting-support-general-inquiries",1
23,"Roderick","waiting-support-employment-status",1
23,"Roderick","waiting-pmt-calc-income-term",1
23,"Roderick","ticketinfo",5
23,"Roderick","waiting-restart-conversation",5
23,"Roderick","waiting-feedback-root",5
23,"Roderick","waiting-support-employer",3
23,"Roderick","waiting-support-no-email",3
23,"Roderick","waiting-support-email",3
23,"Roderick","waiting-support-parent-receiving",3
23,"Roderick","waiting-support-parent-paying",3
23,"Roderick","request-type",2
23,"Roderick","waiting-support-type",2
23,"Roderick","waiting-support-general-inquiries",1
23,"Roderick","waiting-support-employment-status",1
23,"Roderick","waiting-pmt-calc-income-term",1
23,"EMAIL_ADDRESS","ticketinfo",5
23,"EMAIL_ADDRESS","waiting-restart-conversation",5
23,"EMAIL_ADDRESS","waiting-feedback-root",5
23,"EMAIL_ADDRESS","waiting-support-employer",3
23,"EMAIL_ADDRESS","waiting-support-no-email",3
23,"EMAIL_ADDRESS","waiting-support-email",3
23,"EMAIL_ADDRESS","waiting-support-parent-receiving",3
23,"EMAIL_ADDRESS","waiting-support-parent-paying",3
23,"EMAIL_ADDRESS","request-type",2
23,"EMAIL_ADDRESS","waiting-support-type",2
23,"EMAIL_ADDRESS","waiting-support-general-inquiries",1
23,"EMAIL_ADDRESS","waiting-support-employment-status",1
23,"EMAIL_ADDRESS","waiting-pmt-calc-income-term",1
23,"618232492A","ticketinfo",5
23,"618232492A","waiting-restart-conversation",5
23,"618232492A","waiting-feedback-root",5
23,"618232492A","waiting-support-employer",3
23,"618232492A","waiting-support-no-email",3
23,"618232492A","waiting-support-email",3
23,"618232492A","waiting-support-parent-receiving",3
23,"618232492A","waiting-support-parent-paying",3
23,"618232492A","request-type",2
23,"618232492A","waiting-support-type",2
